001, Truong Van Binh, 11/04/1995, 123 145 332, 0871232341, binhtruong214@gmail.com, Dai hoc, Le Tan, 1200, 25, Da Nang
004, Tran Huu Han, 23/03/2001, 231 245 143, 0829349231, hantran224@gmail.com, Dai hoc, Giam doc, 3000, 19, Hue
003, Cao Minh Tuan, 18/08/1992, 209 616 547, 0871435343, caotuan123@gmail.com, Dai hoc, Le Tan, 1400, 28, Ha Noi
008, Nguyen Van Minh, 15/06/1995, 205 925 372, 0871232341, minhnguyen415@gmail.com, Dai hoc, Phuc vu, 1300, 25, Phu Yen
009, Le Huu Huan, 11/06/1991, 583 024 812, 0890543718, huanle274@gmail.com, Dai hoc, Giam sat, 1600, 29, Quang Nam
006, Tran Duc Xuan, 16/09/1989, 743 211 362, 0879539222, xuanductran89@gmail.com, Dai hoc, Le Tan, 1300, 31, Quang Ngai
007, Duong Minh Nhan, 09/08/1985, 120 439 332, 0812358671, minhnhan1416@alo.com, Dai hoc, Quan li, 2000, 35, Sai Gon
005, Dao Ngoc Linh, 05/05/1999, 481 912 422, 0912449625, ngoclinh781@gmail.com, Dai hoc, Chuyen vien, 1900, 21, Binh Dinh
010, Dang Le Duy, 13/03/1998, 316 223 987, 0921750928, duydang333@gmail.com, Dai hoc, Phuc vu, 1600, 22, Khanh Hoa
002, Nguyen Long Phin, 15/04/2001, 214 567 492, 0923236975, longphin333@gmail.com, Dai Hoc, Quan Li, 2100, 19, Da Nang
